"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
668585,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,240,958,20
668586,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,121,21
668569,3046,9776,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,71,4
668571,3045,9776,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,60,167,6
668573,3045,9776,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,92,8
668575,3045,9776,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,99,10
668577,3045,9776,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,60,209,12
668580,3129,9776,"poznavaci-zajezdy","Hledani",2,"Katalog",5,"Poznavaci zajezdy s ubytovanim",8,60,222,15
668584,3045,9776,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,120,473,19
668567,4038,9776,"?panilsko-portugalsko-gibraltar.htm","Zajezd",3,"Neni",-1,"Turistika",1,60,101,2
668572,3148,9776,"pobaltÌ-rusko-norsko-finsko-övÈdsko-velk·-severnÌ-cesta.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,88,7
