LocalID;VisitID;OdkazujiciStranka;TypOdkazovace;VstupniStranka;VstupniStrankaKat;VstupniStrankaRozKat;VstupniStrankaScore;KonverzeStranka;KonverzeStrankaKat;KonverzeStrankaRozKat;KonverzeStrankaScore;Konverze;VystupniStranka;VystupniStrankaKat;VystupniStrankaRozKat;VystupniStrankaScore;NavstivenoStranek;CelkovyCas;DenVTydnu;HodinaDne;NejTema;NejTemaScore;SirkaZajmu;PosilatNovinky;ZaslatKatalog;Slevy;Prihlaska;KdoJsme;Pojisteni;agregInfo;agregHledani;HledaniZeme;HledaniRozsirene;HledaniKW;HledaniKatalog
118077;9724;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;cykloturistika-zahranici;Hledani;Katalog;78;5;120;Wednesday;8;Cyklo;283;5;0;0;0;0;0;0;131;140;0;0;0;140
118081;9728;URI_119;Vlastni Weby;skotsko-velký-okruh-skotskem.htm;Zajezd;Neni;360;;;;0;0;www.poznani.cz;Info;Homepage;71;4;480;Wednesday;8;Poznavaci zajezdy s ubytovanim;485;3;0;0;0;0;0;0;71;101;0;0;0;101
118082;9729;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;rumunsko-fagaraš-a-piatra-craiului-turistika-2005.htm;Zajezd;Neni;62;3;60;Wednesday;8;Horska turistika;112;3;0;0;0;0;0;0;60;50;0;0;0;50
118084;9731;URI_42;Fulltext;www.poznani.cz;Info;Homepage;30;;;;0;0;irsko-pěšky-západem-irska-dovolená-a-turistika-2005-.htm;Zajezd;Neni;62;3;60;Wednesday;8;Turistika;163;3;0;0;0;0;0;0;30;101;0;0;0;101
118087;9734;URI_42;Fulltext;skialpinismus-lyzovani;Hledani;Katalog;30;;;;0;0;expedice;Hledani;Katalog;62;3;60;Wednesday;8;Lyze;131;3;0;0;0;0;0;0;0;193;0;0;0;193
118088;9735;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;skotsko-pěšky-od-jihu-k-severu-skotska-dovolená-a-turistika-2005.htm;Zajezd;Neni;88;7;240;Wednesday;8;Turistika;451;7;0;0;0;0;0;0;30;101;0;101;0;0
118096;9744;URI_74;OstatniNerozliseno;www.poznani.cz;Info;Homepage;60;;;;0;0;horolezecka-skola;Hledani;Katalog;62;3;60;Wednesday;8;Obecne;110;3;0;0;0;0;0;0;110;62;0;0;0;62
118100;9748;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;slovensko-dunajec-a-belá-rafting-na-perlách-slovenska.htm;Zajezd;Neni;78;5;120;Wednesday;8;Rafting;149;5;0;0;101;0;0;0;30;297;0;0;0;297
118110;9758;URI_42;Fulltext;poznani.cz;Info;Homepage;30;;;;0;0;bulharsko-pobyt-s-výlety-dovolená-2005-návštěva-turecka-.htm;Zajezd;Neni;101;11;360;Wednesday;9;Cerna Hora;375;11;0;0;0;0;0;0;30;637;0;0;0;637
118112;9760;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;odra-víkend.htm;Zajezd;Neni;99;10;660;Wednesday;9;Horska turistika;1344;10;0;0;0;0;0;0;30;138;0;0;0;138
118113;9761;URI_37;Fulltext;n_search.asp;Hledani;Rozsirene;60;;;;0;0;skotsko-velký-okruh-skotskem.htm;Zajezd;Neni;62;3;180;Wednesday;9;Obecne;263;3;0;0;0;0;0;0;0;263;203;60;0;0
118114;9762;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;tunis-golf-camp-djerba-tunis.htm;Zajezd;Neni;71;4;60;Wednesday;9;Golf;196;4;0;0;50;0;0;0;30;175;0;0;0;175
118115;9763;URI_41;Fulltext;www.poznani.cz;Info;Homepage;240;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;203;1;n_katalog.asp;Info;Zaslat katalog;251;3;360;Wednesday;9;Obecne;694;3;0;251;0;0;0;0;491;203;0;203;0;0
118119;9768;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;kaňony-a-ostrovy-jihu-francie.htm;Zajezd;Neni;78;5;960;Wednesday;9;Pobyty s vylety;1612;5;0;0;0;0;0;0;60;387;0;0;0;387
118121;9770;URI_0;Neni;poznani.cz;Info;Homepage;60;;;;0;0;zajezdy-se-stany;Hledani;Katalog;88;7;480;Wednesday;9;Turistika;865;7;0;0;0;0;0;0;60;356;0;0;0;356
118122;9771;URI_80;Fulltext;maroko-maroko-perla-maghrebu-poznávací-zájezd.htm;Zajezd;Neni;60;;;;0;0;skialpinismus-lyzovani;Hledani;Katalog;62;3;120;Wednesday;9;Lastminute;101;3;0;0;101;0;0;0;0;163;0;0;0;163
118124;9773;URI_57;OstatniNerozliseno;www.poznani.cz;Info;Homepage;30;;;;0;0;rafting;Hledani;Katalog;95;9;120;Wednesday;9;Horolezecka skola;336;9;0;0;0;0;0;0;298;299;0;0;0;299
118125;9774;URI_0;Neni;www.poznani.cz;Info;Homepage;60;www.poznani.cz;Info;Homepage;167;1;n_katalog.asp;Info;Zaslat katalog;176;7;180;Wednesday;9;Obecne;481;7;0;176;0;0;78;0;481;255;0;0;0;255
118126;9775;URI_9;katalog;www.poznani.cz;Info;Homepage;60;;;;0;0;barma-(myanmar).htm;Zajezd;Neni;62;3;180;Wednesday;9;Exotika;265;3;0;0;0;0;0;0;60;203;0;0;0;203
118127;9776;URI_132;Vlastni Weby;www.poznani.cz;Info;Homepage;360;;;;0;0;www.poznani.cz;Info;Homepage;121;21;1980;Wednesday;10;Obecne;3619;21;0;0;0;0;0;0;3386;1566;0;233;0;1333
118130;9779;URI_111;Neni;berounka-–-víkend.htm;Zajezd;Neni;1080;;;;0;0;n_novinky-zajezdy.asp;Info;Posilat novinky;245;22;2040;Wednesday;10;Voda;2498;22;245;0;121;0;0;0;245;499;0;0;0;499
118131;9780;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;expedice;Hledani;Katalog;109;14;360;Wednesday;10;Rafting;511;14;0;0;0;0;0;0;263;1086;0;0;0;1086
118133;9783;URI_111;Neni;pobyty-s-vylety;Hledani;Katalog;30;;;;0;0;španělsko-–-hotel-carlos*-canet-de-mar.htm;Zajezd;Neni;137;36;3600;Wednesday;11;Pobyty s vylety;6840;33;0;0;133;0;0;0;0;2778;0;0;0;2778
118134;9784;URI_0;Neni;lastminute;Hledani;Katalog;60;;;;0;0;indie-ladakh.htm;Zajezd;Neni;71;4;540;Wednesday;10;Exotika;1053;4;0;0;60;0;0;0;0;161;0;0;0;161
118135;9785;URI_42;Fulltext;poznani.cz;Info;Homepage;60;poznavaci-zajezdy;Hledani;Katalog;143;1;n_katalog.asp;Info;Zaslat katalog;313;5;240;Wednesday;10;Obecne;373;4;0;313;0;0;0;0;373;244;0;0;0;244
118137;9787;URI_39;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;itálie-sicílie-liparské-ostrovy-s-návštevou-sicílie-dovolená-2005-pobyt-s-výlety.htm;Zajezd;Neni;95;9;780;Wednesday;10;Alpy;1427;8;0;0;0;0;0;0;60;452;0;0;0;452
118138;9788;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;bulharsko-pobyt-s-výlety-dovolená-2005-.htm;Zajezd;Neni;78;5;420;Wednesday;10;Lipari;730;5;0;0;0;0;0;0;60;172;0;0;0;172
